Mode,Unique_Bugs,Unique_Bug_Types,Total_Bugs,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s
GFuzz,1,R01,0,1,060.54961,0.31908,0.00001,0.00000
GoPie,1,R01,0,1,060.42237,0.24207,0.00001,0.00000
GoPie+,1,R01,0,1,060.49170,0.24594,0.00001,0.00000
