Mode,Unique_Bugs,Unique_Bug_Types,Total_Bugs,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s
GFuzz,2,A05;L00,1,1,0.46938,0.30287,0.00001,0.00000
GoPie,2,A05;L00,1,1,0.42876,0.25452,0.00001,0.00000
GoPie+,2,A05;L00,1,1,0.41967,0.25694,0.00002,0.00000
