Test,Flow,GFuzz,GFuzzHB,GFuzzHBFlow,GoPie,GoPie+,GoPieHB
TestExactArgs_WithInvalidCount_WithValid_WithInvalidArgs,1.45222,2.5585,1.37651,1.35634,1.51671,1.4273,1.41419
TestExactArgs_WithValid,1.06283,2.05758,1.0715,1.01072,1.15688,1.13956,1.1107
TestExactArgs_WithValidOnly_WithInvalidArgs,0.98826,1.82893,1.07189,1.11102,1.14601,1.13563,1.48444
TestExactArgs_WithValid_WithInvalidArgs,1.1299,1.986,1.13948,1.24071,1.11752,1.17218,1.18258
TestExactValidArgs,0.96584,1.6346,0.94474,1.00928,0.98036,0.95845,0.98859
TestExactValidArgs_WithInvalidArgs,1.00864,1.63606,0.95759,0.96227,0.97432,1.00004,0.92479
TestExactValidArgs_WithInvalidCount,1.01651,1.61364,0.96372,0.96477,0.99572,1.00222,0.99703
TestExactValidArgs_WithInvalidCount_WithInvalidArgs,0.97674,1.60262,0.95696,0.99928,0.98046,0.94392,0.98231
TestExecuteContext,0.78816,1.33071,0.7842,0.79684,0.77918,0.7849,0.83443
TestExecuteContextC,0.79193,1.33055,0.78274,0.81324,0.80296,0.80614,0.79912
TestExecute_NoContext,0.85203,1.40646,0.77541,0.805,0.80868,0.80016,0.78625
TestFParseErrWhitelistBackwardCompatibility,1.31646,2.05554,1.29265,1.40769,1.7072,1.98996,1.86075
TestFParseErrWhitelistChildCommand,1.97025,2.9618,1.98684,1.7998,2.00008,1.94606,1.82003
TestFParseErrWhitelistParentCommand,1.79153,2.83894,1.77163,1.80321,1.76292,1.84362,1.96992
TestFParseErrWhitelistSameCommand,1.87961,2.95671,1.94072,1.82423,1.71945,1.89211,1.77553
TestFParseErrWhitelistSiblingCommand,1.44599,2.71316,1.76395,1.32613,1.33239,1.27222,1.28099
TestFailGenFishCompletionFile,1.0898,1.57537,1.08294,1.10193,1.09861,1.0718,1.09439
TestFind,1.36373,1.95241,1.37196,1.39719,1.33769,1.30457,1.36682
TestFishCompletionNoActiveHelp,1.13352,1.62758,1.05525,1.07622,1.08031,1.06869,1.09391
TestFixedCompletions,1.04933,1.52653,1.04351,1.08246,1.06606,1.04266,1.07079
TestFixedCompletionsWithCompletionHelpers,1.06441,1.52907,1.07931,1.07447,1.07534,1.06466,1.06362
TestFlagBeforeCommand,0.83573,1.35211,0.79991,0.81675,0.82668,0.83525,0.85189
TestFlagCompletionConcurrentRegistration,1.41078,2.16617,1.46695,1.41391,115.41501,662.42257,73.93809
TestFlagCompletionForPersistentFlagsCalledFromSubCmd,1.46948,2.09631,1.41351,1.39083,1.39817,1.43789,1.36786
TestFlagCompletionInGo,1.49034,2.02498,1.44325,1.39737,1.47025,1.37347,1.36333
TestFlagCompletionInGoWithDesc,1.17489,1.5184,1.09668,1.1055,1.13809,1.15879,1.10256
TestFlagCompletionWithNotInterspersedArgs,1.33358,2.07876,1.38948,1.45059,1.34181,1.34714,1.47368
TestFlagCompletionWorksRootCommandAddedAfterFlags,1.42539,2.11039,1.3741,1.36911,1.38759,1.42881,1.40166
TestFlagDirFilterCompletionInGo,1.36091,2.06731,1.41434,1.31116,1.35487,1.38362,1.31572
TestFlagErrorFunc,1.92406,2.01141,1.48966,1.74489,1.94989,1.79543,1.88237
TestFlagErrorFuncHelp,1.58512,2.45748,1.49263,1.70554,1.63155,1.67474,1.72111
TestFlagFileExtFilterCompletionInGo,1.35828,2.03742,1.37974,1.40328,1.36049,1.41491,1.42953
TestFlagInvalidInput,0.85733,1.30781,0.80339,0.79613,0.80092,0.84507,0.83936
TestFlagLong,0.80072,1.35453,0.86976,0.80791,0.84053,0.81867,0.82112
TestFlagNameCompletionInGo,1.36598,1.99684,1.30178,1.33145,1.36959,1.37515,1.37128
TestFlagNameCompletionInGoWithDesc,1.42608,1.9994,1.34599,1.33182,1.34708,1.37888,1.40293
TestFlagNameCompletionRepeat,1.33524,2.03671,1.38007,1.37686,1.3296,1.39562,1.35586
TestFlagOnPflagCommandLine,0.9577,1.45781,0.96432,0.96057,0.94001,0.97063,0.97937
TestFlagShort,0.82284,1.36425,0.87777,0.80415,0.826,0.83643,0.812
TestFlagsInUsage,0.85298,1.33133,0.90305,0.87821,0.85197,0.85915,0.86735
TestGenFishCompletionFile,1.11565,1.59066,1.07235,1.05682,1.08988,1.10029,1.10204
TestGetEnvConfig,1.45597,2.00387,1.43771,1.4233,1.44054,1.5031,1.45168
TestGetFlagCompletion,1.05036,1.59699,1.0791,1.08104,74.28057,672.45984,72.88427
TestGlobalNormFuncPropagation,0.96882,1.52364,0.91979,0.97066,0.93605,0.951,0.93589
TestGrandChildSameName,0.83683,1.34535,0.82806,0.81536,0.82436,0.80393,0.79536
TestHelpCommandExecuted,0.82256,1.37363,0.85984,0.84193,0.85346,0.82711,0.86909
TestHelpCommandExecutedOnChild,0.83811,1.33979,0.82239,0.85246,0.82693,0.83042,0.91472
TestHelpCommandExecutedOnChildWithFlagThatShadowsParentFlag,0.85481,1.3375,0.85602,0.83755,0.8621,0.87246,0.85546
TestHelpCommandExecutedWithVersionSet,1.28981,2.01882,1.34485,1.31459,1.32305,1.35211,1.35783
TestHelpCommandExecutedWithoutVersionSet,1.35343,2.01968,1.42192,1.35031,1.27589,1.27903,1.28272
TestHelpExecutedOnNonRunnableChild,0.93448,1.37596,0.8421,0.92622,1.09292,1.17433,1.0686
TestHelpFlagExecuted,0.93195,1.60385,0.99202,0.88016,0.83397,0.89209,0.89436
TestHelpFlagExecutedOnChild,0.86523,1.39887,0.85675,0.86105,0.87833,0.87407,0.85267
TestHelpFlagInHelp,0.84763,1.33401,0.87947,0.93386,0.84265,0.83498,0.88012
TestHelpFuncExecuted,1.32427,2.02471,1.34526,1.36193,1.32184,1.36237,1.29967
TestHelpflagCommandExecutedWithVersionSet,1.26693,1.99133,1.33979,1.32219,1.32942,1.267,1.36508
TestHelpflagCommandExecutedWithoutVersionSet,1.29532,2.02627,1.33184,1.35406,1.33904,1.35797,1.34145
TestHiddenCommandExecutes,0.98085,1.49023,0.95953,0.93653,1.02447,0.94148,0.96715
TestHiddenCommandIsHidden,0.98116,1.48824,0.95602,0.92555,0.93471,0.91946,0.94118
TestHooks,0.94689,1.44015,0.94462,0.93711,0.96976,0.93927,0.99641
TestInitDefaultCompletionCmd,1.44651,2.13571,1.40704,1.45994,1.43391,1.43266,1.4575
TestInitHelpFlagMergesFlags,0.86155,1.35953,0.83666,0.81465,0.86988,0.85981,0.82178
TestLegacyArgsRootAcceptsArgs,1.00322,1.67135,0.92034,0.96845,0.97573,0.96486,1.00048
TestLegacyArgsSubcmdAcceptsArgs,0.94335,1.60462,0.94999,0.9602,1.03979,0.98481,0.98116
TestLevenshteinDistance,0.94923,1.55889,0.92895,0.96114,0.95707,0.93612,0.99313
TestLongVersionFlagOnlyInHelpWhenShortPredefined,0.97878,1.61736,0.97721,1.01595,0.97522,0.97518,0.967
TestMatchAll,0.96473,1.63348,0.98347,0.96488,0.96476,0.99159,0.98382
TestMaximumNArgs,1.17077,1.79165,1.03064,1.21548,1.30527,1.32207,1.16609
TestMaximumNArgs_WithMoreArgs,1.06332,1.85688,1.04375,1.199,1.07562,1.01542,1.00536
TestMaximumNArgs_WithMoreArgs_WithValid,1.32013,2.10991,1.18741,1.10332,1.07332,1.05768,1.21568
TestMaximumNArgs_WithMoreArgs_WithValidOnly_WithInvalidArgs,1.16584,1.88541,1.15834,1.25495,1.21177,1.16411,1.16007
TestMaximumNArgs_WithMoreArgs_WithValid_WithInvalidArgs,1.07326,1.91466,1.10339,1.15318,1.14548,1.33823,1.06293
TestMaximumNArgs_WithValid,1.07573,2.1857,1.21873,1.1101,1.10191,1.15137,1.22516
TestMaximumNArgs_WithValidOnly_WithInvalidArgs,1.17227,1.96203,1.05688,1.17132,1.1562,1.17779,1.21754
TestMaximumNArgs_WithValid_WithInvalidArgs,1.11765,1.8939,1.11091,1.05016,1.11429,1.18554,1.12233
TestMergeCommandLineToFlags,1.76258,2.69401,1.75985,1.71912,1.82645,1.73312,1.73964
TestMinimumNArgs,1.42562,2.5942,1.50939,1.52086,1.41668,1.37144,1.43547
TestMinimumNArgs_WithLessArgs,1.2748,2.45021,1.3373,1.21831,1.26845,1.24549,1.41483
TestMinimumNArgs_WithLessArgs_WithValid,1.10902,2.13087,1.15976,1.12229,1.04911,1.16729,1.09835
TestMinimumNArgs_WithLessArgs_WithValidOnly_WithInvalidArgs,1.09178,2.00925,1.23297,1.07761,1.17171,1.12065,1.04937
TestMinimumNArgs_WithLessArgs_WithValid_WithInvalidArgs,1.09194,1.7774,1.06398,1.09404,1.02136,0.99861,0.93307
TestMinimumNArgs_WithValid,1.33329,2.62192,1.38066,1.3259,1.38718,1.29537,1.40089
TestMinimumNArgs_WithValidOnly_WithInvalidArgs,1.40805,2.51454,1.38214,1.34216,1.28427,1.49964,1.36595
TestMinimumNArgs_WithValid__WithInvalidArgs,1.41525,2.54505,1.37019,1.2495,1.38755,1.25283,1.4174
TestMultiActiveHelp,0.90805,1.70102,0.90564,0.92188,0.87686,0.83516,0.80746
TestMultipleShorthandFlagCompletion,1.06825,1.53591,1.07768,1.07095,1.03503,1.04584,1.06679
TestNoArgs,1.19086,2.61236,1.21862,1.49619,2.10354,1.52019,1.25661
TestNoArgs_WithArgs,1.17496,2.21387,1.15386,1.20373,1.24547,1.25074,1.17564
TestNoArgs_WithValidOnly_WithInvalidArgs,1.23976,2.75589,1.59211,1.42129,1.30383,1.15895,1.19684
TestNoArgs_WithValid_WithArgs,1.27093,1.95737,1.10368,1.20119,1.39047,1.46046,1.77139
TestNoArgs_WithValid_WithInvalidArgs,1.85136,6.00135,2.69177,1.44328,1.74234,1.89521,1.29192
TestNoCmdNameCompletionInGo,1.36728,2.02261,1.42536,1.30008,1.29661,1.39865,1.34211
TestNoRootRunCommandExecutedWithVersionSet,1.27568,1.96688,1.37676,1.33675,1.33253,1.35753,1.33635
