Mode,Unique_Bugs,Bug_Types,Total_Bugs,Panics,Leaks,Confirmed_Replays,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s,Bugs_per_1000_Runs,Bugs_per_Minute,Runs_per_Minute,Replays_Written,Replays_Successful
Flow,2,A05;L09,1,0,2,0,1,0.55715,0.29766,0.00014,0.00005,1000.0,107.69,107.69,0,0
GFuzz,2,A05;L00,1,0,2,0,1,0.48268,0.27048,0.00003,0.00000,1000.0,124.31,124.31,0,0
GFuzzHB,2,A05;L09,1,0,2,0,1,0.52311,0.29036,0.00009,0.00004,1000.0,114.7,114.7,0,0
GFuzzHBFlow,2,A05;L09,1,0,2,0,1,0.56695,0.30095,0.00015,0.00006,1000.0,105.83,105.83,0,0
GoPie,2,A05;L00,1,0,2,0,1,0.57872,0.29858,0.00001,0.00000,1000.0,103.68,103.68,0,0
GoPie+,2,A05;L00,1,0,2,0,1,70.91334,0.29802,0.00001,0.00000,1000.0,0.85,0.85,0,0
GoPieHB,2,A05;L09,1,0,2,0,1,600.79522,0.26549,0.00014,0.00004,1000.0,0.1,0.1,0,0
