Mode,Unique_Bugs,Unique_Bug_Types,Total_Bugs,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s
GFuzz,0,None,0,1,0.44783,0.28516,0.00000,0.00000
GoPie,0,None,0,1,0.41617,0.25788,0.00000,0.00000
GoPie+,0,None,0,1,0.42317,0.26493,0.00000,0.00000
