Mode,Unique_Bugs,Unique_Bug_Types,Total_Bugs,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s
GFuzz,1,L00,0,1,0120.60747,60.38050,0.00001,0.00000
GoPie,1,L00,0,1,0120.50053,60.28715,0.00001,0.00000
GoPie+,1,L00,0,1,0120.49580,60.27174,0.00001,0.00000
