Mode,TestName,Time
Flow,Total,0.74230
GFuzz,Total,0.82249
GFuzzHB,Total,0.80298
GFuzzHBFlow,Total,0.87211
GoPie+,Total,0.81285
GoPie,Total,0.81233
GoPieHB,Total,0.86072
