Mode,Unique_Bugs,Bug_Types,Total_Bugs,Panics,Leaks,Confirmed_Replays,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s,Bugs_per_1000_Runs,Bugs_per_Minute,Runs_per_Minute,Replays_Written,Replays_Successful
Flow,2,A05;L09,1,0,1,0,1,0.81485,0.43456,0.00014,0.00010,1000.0,73.63,73.63,0,0
GFuzz,2,A05;L00,1,0,1,0,1,0.88751,0.43241,0.00003,0.00000,1000.0,67.6,67.6,0,0
GFuzzHB,2,A05;L09,1,0,1,0,1,0.82807,0.42988,0.00025,0.00009,1000.0,72.46,72.46,0,0
GFuzzHBFlow,2,A05;L09,1,0,1,0,1,0.82398,0.43620,0.00016,0.00006,1000.0,72.82,72.82,0,0
GoPie,2,A05;L00,1,0,1,0,1,0.84814,0.45448,0.00002,0.00000,1000.0,70.74,70.74,0,0
GoPie+,2,A05;L00,1,0,1,0,1,0.84107,0.42010,0.00002,0.00000,1000.0,71.34,71.34,0,0
GoPieHB,2,A05;L09,1,0,1,0,1,0.78704,0.43137,0.00014,0.00007,1000.0,76.24,76.24,0,0
