Mode,Unique_Bugs,Bug_Types,Total_Bugs,Panics,Leaks,Confirmed_Replays,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s,Bugs_per_1000_Runs,Bugs_per_Minute,Runs_per_Minute,Replays_Written,Replays_Successful
Flow,0,,0,0,0,0,1,2.37976,0.83624,0.00006,0.00012,0.0,0.0,25.21,0,0
GFuzz,0,,0,0,0,0,1,3.33111,1.75148,0.00000,0.00000,0.0,0.0,18.01,0,0
GFuzzHB,0,,0,0,0,0,1,2.40691,0.79809,0.00005,0.00009,0.0,0.0,24.93,0,0
GFuzzHBFlow,0,,0,0,0,0,1,2.33826,0.80964,0.00004,0.00009,0.0,0.0,25.66,0,0
GoPie,0,,0,0,0,0,1,2.40319,0.80014,0.00000,0.00000,0.0,0.0,24.97,0,0
GoPie+,0,,0,0,0,0,1,2.60448,0.87976,0.00000,0.00000,0.0,0.0,23.04,0,0
GoPieHB,0,,0,0,0,0,1,2.37015,0.77162,0.00005,0.00009,0.0,0.0,25.31,0,0
