Mode,Unique_Bugs,Bug_Types,Total_Bugs,Panics,Leaks,Confirmed_Replays,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s,Bugs_per_1000_Runs,Bugs_per_Minute,Runs_per_Minute,Replays_Written,Replays_Successful
Flow,0,,0,0,0,0,1,0.85733,0.38120,0.00004,0.00007,0.0,0.0,69.98,0,0
GFuzz,0,,0,0,0,0,1,1.30781,0.87188,0.00000,0.00000,0.0,0.0,45.88,0,0
GFuzzHB,0,,0,0,0,0,1,0.80339,0.37069,0.00005,0.00007,0.0,0.0,74.68,0,0
GFuzzHBFlow,0,,0,0,0,0,1,0.79613,0.36535,0.00003,0.00007,0.0,0.0,75.36,0,0
GoPie,0,,0,0,0,0,1,0.80092,0.36496,0.00000,0.00000,0.0,0.0,74.91,0,0
GoPie+,0,,0,0,0,0,1,0.84507,0.41193,0.00000,0.00000,0.0,0.0,71.0,0,0
GoPieHB,0,,0,0,0,0,1,0.83936,0.37591,0.00003,0.00007,0.0,0.0,71.48,0,0
