TestName,NumberActualBugTotal,NoLeaksTotal,NoLeaksWithRewriteTotal,NoLeaksResolvedViaReplayTotal,NoPanicsTotal,NoPanicsVerifiedViaReplayTotal,NoUnexpectedPanicsInReplayTotal,NoProbInRecordingTotal,NumberActualBugUnique,NoLeaksUnique,NoLeaksWithRewriteUnique,NoLeaksResolvedViaReplayUnique,NoPanicsUnique,NoPanicsVerifiedViaReplayUnique,NoUnexpectedPanicsInReplayUnique
TestMixed3,1,1,0,0,0,0,0,0,88,3,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,89,3,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,90,3,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,91,3,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,92,3,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,93,3,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,94,3,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,95,3,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,96,3,0,0,0,0,0
TestMixed3,1,2,0,0,0,0,0,0,98,7,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,98,2,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,99,2,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,100,2,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,101,2,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,102,2,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,103,2,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,104,2,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,105,2,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,106,2,0,0,0,0,0
TestMixed3,1,2,0,0,0,0,0,0,108,5,0,0,0,0,0
