Mode,TestName,NoEvents,NoGoroutines,NoAtomicEvents,NoChannelEvents,NoSelectEvents,NoMutexEvents,NoWaitgroupEvents,NoCondVariablesEvents,NoOnceOperations
Flow,TestShorthandVersionFlagOnlyAddedIfVersionNotDefined,1,1,0,0,0,0,0,0,0
GFuzz,TestShorthandVersionFlagOnlyAddedIfVersionNotDefined,1,1,0,0,0,0,0,0,0
GFuzzHB,TestShorthandVersionFlagOnlyAddedIfVersionNotDefined,1,1,0,0,0,0,0,0,0
GFuzzHBFlow,TestShorthandVersionFlagOnlyAddedIfVersionNotDefined,1,1,0,0,0,0,0,0,0
GoPie+,TestShorthandVersionFlagOnlyAddedIfVersionNotDefined,1,1,0,0,0,0,0,0,0
GoPie,TestShorthandVersionFlagOnlyAddedIfVersionNotDefined,1,1,0,0,0,0,0,0,0
GoPieHB,TestShorthandVersionFlagOnlyAddedIfVersionNotDefined,1,1,0,0,0,0,0,0,0
