Mode,Unique_Bugs,Bug_Types,Total_Bugs,Panics,Leaks,Confirmed_Replays,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s,Bugs_per_1000_Runs,Bugs_per_Minute,Runs_per_Minute,Replays_Written,Replays_Successful
Flow,1,L09,0,0,1,0,1,120.44957,60.23194,0.00011,0.00005,0.0,0.0,0.5,0,0
GFuzz,1,L00,0,0,1,0,1,120.54476,60.32991,0.00001,0.00000,0.0,0.0,0.5,0,0
GFuzzHB,1,L09,0,0,1,0,1,120.49866,60.28832,0.00015,0.00005,0.0,0.0,0.5,0,0
GFuzzHBFlow,1,L09,0,0,1,0,1,120.51199,60.30572,0.00013,0.00005,0.0,0.0,0.5,0,0
GoPie,1,L00,0,0,1,0,1,120.52275,60.33323,0.00001,0.00000,0.0,0.0,0.5,0,0
GoPie+,1,L00,0,0,1,0,1,120.49827,60.27233,0.00001,0.00000,0.0,0.0,0.5,0,0
GoPieHB,1,L09,0,0,1,0,1,120.49457,60.28618,0.00016,0.00005,0.0,0.0,0.5,0,0
