Mode,Unique_Bugs,Unique_Bug_Types,Total_Bugs,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s
GFuzz,2,A05;L00,1,1,0.39542,0.26890,0.00002,0.00000
GoPie,2,A05;L00,1,1,0.41408,0.25833,0.00003,0.00000
GoPie+,2,A05;L00,1,1,0.41093,0.25200,0.00001,0.00000
