TestName,NoEvents,NoGoroutines,NoAtomicEvents,NoChannelEvents,NoSelectEvents,NoMutexEvents,NoWaitgroupEvents,NoCondVariablesEvents,NoOnceOperations
TestETags,350,21,7,198,0,94,0,0,0
TestETags,0,0,0,0,0,0,0,0,0
