Mode,TestName,Time
Flow,Total,1.09635
GFuzz,Total,1.87006
GFuzzHB,Total,1.08982
GFuzzHBFlow,Total,1.11367
GoPie+,Total,1.00551
GoPie,Total,1.07728
GoPieHB,Total,0.95507
