Mode,Unique_Bugs,Bug_Types,Total_Bugs,Panics,Leaks,Confirmed_Replays,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s,Bugs_per_1000_Runs,Bugs_per_Minute,Runs_per_Minute,Replays_Written,Replays_Successful
Flow,2,A01;L09,2,0,1,0,1,0.84853,0.43775,0.00037,0.00012,2000.0,141.42,70.71,0,0
GFuzz,2,A01;L00,1,0,1,0,1,1.00351,0.54047,0.00003,0.00000,1000.0,59.79,59.79,0,0
GFuzzHB,2,A01;L09,2,0,1,0,1,0.96988,0.52569,0.00030,0.00007,2000.0,123.73,61.86,0,0
GFuzzHBFlow,2,A01;L09,2,0,1,0,1,0.93484,0.48275,0.00032,0.00012,2000.0,128.36,64.18,0,0
GoPie,2,A01;L00,1,0,1,0,100,52.71061,0.45289,0.00002,0.00000,10.0,1.14,113.83,0,0
GoPie+,2,A01;L00,1,0,1,0,2,601.84471,0.42631,0.00003,0.00000,500.0,0.1,0.2,0,0
GoPieHB,2,A01;L09,2,0,1,0,5,71.85489,0.37215,0.00014,0.00004,400.0,1.67,4.18,0,0
