Mode,Unique_Bugs,Bug_Types,Total_Bugs,Panics,Leaks,Confirmed_Replays,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s,Bugs_per_1000_Runs,Bugs_per_Minute,Runs_per_Minute,Replays_Written,Replays_Successful
Flow,0,,0,0,0,0,1,0.98037,0.43543,0.00005,0.00010,0.0,0.0,61.2,0,0
GFuzz,0,,0,0,0,0,1,1.71496,1.21323,0.00000,0.00000,0.0,0.0,34.99,0,0
GFuzzHB,0,,0,0,0,0,1,0.98020,0.49689,0.00004,0.00007,0.0,0.0,61.21,0,0
GFuzzHBFlow,0,,0,0,0,0,1,1.01354,0.48306,0.00004,0.00007,0.0,0.0,59.2,0,0
GoPie,0,,0,0,0,0,1,0.97812,0.45563,0.00000,0.00000,0.0,0.0,61.34,0,0
GoPie+,0,,0,0,0,0,1,0.95610,0.43453,0.00000,0.00000,0.0,0.0,62.75,0,0
GoPieHB,0,,0,0,0,0,1,0.99008,0.45153,0.00005,0.00008,0.0,0.0,60.6,0,0
