Mode,Unique_Bugs,Bug_Types,Total_Bugs,Panics,Leaks,Confirmed_Replays,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s,Bugs_per_1000_Runs,Bugs_per_Minute,Runs_per_Minute,Replays_Written,Replays_Successful
Flow,0,,0,0,0,0,1,1.70170,0.73020,0.00004,0.00011,0.0,0.0,35.26,0,0
GFuzz,0,,0,0,0,0,1,2.91406,1.86399,0.00000,0.00000,0.0,0.0,20.59,0,0
GFuzzHB,0,,0,0,0,0,1,2.03549,0.95492,0.00004,0.00010,0.0,0.0,29.48,0,0
GFuzzHBFlow,0,,0,0,0,0,1,1.64662,0.81473,0.00004,0.00009,0.0,0.0,36.44,0,0
GoPie,0,,0,0,0,0,1,1.98561,0.89923,0.00000,0.00000,0.0,0.0,30.22,0,0
GoPie+,0,,0,0,0,0,1,1.95526,0.90034,0.00000,0.00000,0.0,0.0,30.69,0,0
GoPieHB,0,,0,0,0,0,1,1.55182,0.68154,0.00002,0.00006,0.0,0.0,38.66,0,0
