Mode,Unique_Bugs,Bug_Types,Total_Bugs,Panics,Leaks,Confirmed_Replays,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s,Bugs_per_1000_Runs,Bugs_per_Minute,Runs_per_Minute,Replays_Written,Replays_Successful
Flow,0,,0,0,0,0,1,1.57507,0.67182,0.00003,0.00008,0.0,0.0,38.09,0,0
GFuzz,0,,0,0,0,0,1,2.11036,1.29015,0.00000,0.00000,0.0,0.0,28.43,0,0
GFuzzHB,0,,0,0,0,0,1,1.55467,0.64277,0.00003,0.00006,0.0,0.0,38.59,0,0
GFuzzHBFlow,0,,0,0,0,0,1,1.51656,0.63424,0.00004,0.00009,0.0,0.0,39.56,0,0
GoPie,0,,0,0,0,0,1,1.49245,0.64090,0.00000,0.00000,0.0,0.0,40.2,0,0
GoPie+,0,,0,0,0,0,1,1.48868,0.62816,0.00000,0.00000,0.0,0.0,40.3,0,0
GoPieHB,0,,0,0,0,0,1,1.50067,0.65038,0.00004,0.00007,0.0,0.0,39.98,0,0
