Mode,TestName,Time
Flow,Total,1.01998
GFuzz,Total,1.45433
GFuzzHB,Total,0.88672
GFuzzHBFlow,Total,1.15600
GoPie+,Total,1.07348
GoPie,Total,1.15234
GoPieHB,Total,0.98125
