Mode,Unique_Bugs,Unique_Bug_Types,Total_Bugs,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s
GFuzz,1,L00,0,1,0120.54529,60.33665,0.00002,0.00000
GoPie,1,L00,0,1,0120.49293,60.26081,0.00001,0.00000
GoPie+,1,L00,0,1,0120.73134,60.47799,0.00001,0.00000
