Mode,Unique_Bugs,Bug_Types,Total_Bugs,Panics,Leaks,Confirmed_Replays,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s,Bugs_per_1000_Runs,Bugs_per_Minute,Runs_per_Minute,Replays_Written,Replays_Successful
Flow,0,,0,0,0,0,1,1.93056,0.67910,0.00005,0.00010,0.0,0.0,31.08,0,0
GFuzz,0,,0,0,0,0,1,2.41748,1.49661,0.00000,0.00000,0.0,0.0,24.82,0,0
GFuzzHB,0,,0,0,0,0,1,1.88262,0.64636,0.00008,0.00015,0.0,0.0,31.87,0,0
GFuzzHBFlow,0,,0,0,0,0,1,1.56917,0.60172,0.00043,0.00016,0.0,0.0,38.24,0,0
GoPie,0,,0,0,0,0,1,1.49268,0.52636,0.00000,0.00000,0.0,0.0,40.2,0,0
GoPie+,0,,0,0,0,0,1,1.41983,0.59364,0.00000,0.00000,0.0,0.0,42.26,0,0
GoPieHB,0,,0,0,0,0,1,1.40386,0.50504,0.00006,0.00009,0.0,0.0,42.74,0,0
