Mode,Unique_Bugs,Unique_Bug_Types,Total_Bugs,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s
GFuzz,0,None,0,5,03.68136,0.27129,0.00000,0.00000
GoPie,0,None,0,1,0.37256,0.24217,0.00000,0.00000
GoPie+,0,None,0,1,0.37910,0.24928,0.00000,0.00000
