Mode,TestName,Time
Flow,Total,1.47357
GFuzz,Total,2.12132
GFuzzHB,Total,1.45443
GFuzzHBFlow,Total,1.42162
GoPie+,Total,1.43719
GoPie,Total,1.47169
GoPieHB,Total,1.46464
