Mode,Unique_Bugs,Unique_Bug_Types,Total_Bugs,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s
GFuzz,1,L00,0,1,0120.57349,60.36040,0.00001,0.00000
GoPie,1,L00,0,1,0120.59214,60.35628,0.00003,0.00000
GoPie+,1,L00,0,1,0120.50160,60.30219,0.00001,0.00000
