Test,Flow,GFuzz,GFuzzHB,GFuzzHBFlow,GoPie,GoPie+,GoPieHB
TestSelectMultiple,0.49482,4.12159,6.4437,3.402,0.51843,0.57812,0.55672
TestSelectNoPartner,0.5895,0.59996,0.61107,0.63787,0.72184,0.60526,0.63026
TestSelectWithPartner,0.68504,5.74684,5.73274,6.0895,0.48538,0.4844,0.47539
