Mode,Unique_Bugs,Unique_Bug_Types,Total_Bugs,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s
GFuzz,1,L00,0,1,0.44401,0.29073,0.00001,0.00000
GoPie,1,L00,0,1,0.38999,0.24909,0.00001,0.00000
GoPie+,1,L00,0,1,0.40306,0.25472,0.00001,0.00000
