Mode,Unique_Bugs,Bug_Types,Total_Bugs,Panics,Leaks,Confirmed_Replays,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s,Bugs_per_1000_Runs,Bugs_per_Minute,Runs_per_Minute,Replays_Written,Replays_Successful
Flow,0,,0,0,0,0,1,1.47251,0.65464,0.00018,0.00012,0.0,0.0,40.75,0,0
GFuzz,0,,0,0,0,0,1,2.10163,1.28491,0.00000,0.00000,0.0,0.0,28.55,0,0
GFuzzHB,0,,0,0,0,0,1,1.44749,0.64421,0.00004,0.00009,0.0,0.0,41.45,0,0
GFuzzHBFlow,0,,0,0,0,0,1,1.47779,0.65404,0.00004,0.00010,0.0,0.0,40.6,0,0
GoPie,0,,0,0,0,0,1,1.45373,0.63365,0.00000,0.00000,0.0,0.0,41.27,0,0
GoPie+,0,,0,0,0,0,1,1.50734,0.66318,0.00000,0.00000,0.0,0.0,39.81,0,0
GoPieHB,0,,0,0,0,0,1,1.54805,0.69986,0.00004,0.00009,0.0,0.0,38.76,0,0
