Mode,Unique_Bugs,Bug_Types,Total_Bugs,Panics,Leaks,Confirmed_Replays,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s,Bugs_per_1000_Runs,Bugs_per_Minute,Runs_per_Minute,Replays_Written,Replays_Successful
Flow,2,A05;L09,1,0,1,0,1,0.82223,0.47288,0.00016,0.00008,1000.0,72.97,72.97,0,0
GFuzz,2,A05;L00,1,0,1,0,1,0.83260,0.43911,0.00001,0.00000,1000.0,72.06,72.06,0,0
GFuzzHB,2,A05;L09,1,0,1,0,1,0.87341,0.47679,0.00007,0.00005,1000.0,68.7,68.7,0,0
GFuzzHBFlow,2,A05;L09,1,0,1,0,1,0.88414,0.48446,0.00008,0.00005,1000.0,67.86,67.86,0,0
GoPie,2,A05;L00,1,0,1,0,1,0.94122,0.54401,0.00002,0.00000,1000.0,63.75,63.75,0,0
GoPie+,2,A05;L00,1,0,1,0,1,0.85591,0.46648,0.00002,0.00000,1000.0,70.1,70.1,0,0
GoPieHB,2,A05;L09,1,0,1,0,1,0.94182,0.46412,0.00015,0.00010,1000.0,63.71,63.71,0,0
