Mode,Unique_Bugs,Unique_Bug_Types,Total_Bugs,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s
GFuzz,2,A01;L00,1,1,0.41630,0.27697,0.00001,0.00000
GoPie,2,A01;L00,1,1,0.40259,0.24862,0.00002,0.00000
GoPie+,2,A01;L00,1,1,0.39920,0.24376,0.00001,0.00000
