TestName,NoEvents,NoGoroutines,NoAtomicEvents,NoChannelEvents,NoSelectEvents,NoMutexEvents,NoWaitgroupEvents,NoCondVariablesEvents,NoOnceOperations
TestEvent_CloudEvent_NilOrigin,135,8,0,99,0,14,0,0,0
TestEvent_CloudEvent_NilOrigin,135,10,0,99,0,14,0,0,0
TestEvent_CloudEvent_NilOrigin,136,10,0,99,0,14,0,0,0
TestEvent_CloudEvent_NilOrigin,135,10,0,99,0,14,0,0,0
TestEvent_CloudEvent_NilOrigin,135,10,0,99,0,14,0,0,0
TestEvent_CloudEvent_NilOrigin,135,10,0,99,0,14,0,0,0
TestEvent_CloudEvent_NilOrigin,136,10,0,99,0,14,0,0,0
TestEvent_CloudEvent_NilOrigin,136,10,0,99,0,14,0,0,0
TestEvent_CloudEvent_NilOrigin,135,10,0,99,0,14,0,0,0
TestEvent_CloudEvent_NilOrigin,135,10,0,99,0,14,0,0,0
TestEvent_CloudEvent_NilOrigin,135,10,0,99,0,14,0,0,0
TestEvent_CloudEvent_NilOrigin,136,10,0,99,0,14,0,0,0
TestEvent_CloudEvent_NilOrigin,136,10,0,99,0,14,0,0,0
TestEvent_CloudEvent_NilOrigin,136,10,0,99,0,14,0,0,0
TestEvent_CloudEvent_NilOrigin,136,10,0,99,0,14,0,0,0
TestEvent_CloudEvent_NilOrigin,136,10,0,99,0,14,0,0,0
TestEvent_CloudEvent_NilOrigin,136,10,0,99,0,14,0,0,0
TestEvent_CloudEvent_NilOrigin,135,10,0,99,0,14,0,0,0
TestEvent_CloudEvent_NilOrigin,136,10,0,99,0,14,0,0,0
TestEvent_CloudEvent_NilOrigin,136,10,0,99,0,14,0,0,0
TestEvent_CloudEvent_NilOrigin,136,10,0,99,0,14,0,0,0
