Mode,TestName,NoEvents,NoGoroutines,NoAtomicEvents,NoChannelEvents,NoSelectEvents,NoMutexEvents,NoWaitgroupEvents,NoCondVariablesEvents,NoOnceOperations
Flow,TestCommandPrintRedirection,1,1,0,0,0,0,0,0,0
GFuzz,TestCommandPrintRedirection,1,1,0,0,0,0,0,0,0
GFuzzHB,TestCommandPrintRedirection,1,1,0,0,0,0,0,0,0
GFuzzHBFlow,TestCommandPrintRedirection,1,1,0,0,0,0,0,0,0
GoPie+,TestCommandPrintRedirection,1,1,0,0,0,0,0,0,0
GoPie,TestCommandPrintRedirection,1,1,0,0,0,0,0,0,0
GoPieHB,TestCommandPrintRedirection,1,1,0,0,0,0,0,0,0
