Mode,Unique_Bugs,Bug_Types,Total_Bugs,Panics,Leaks,Confirmed_Replays,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s,Bugs_per_1000_Runs,Bugs_per_Minute,Runs_per_Minute,Replays_Written,Replays_Successful
Flow,2,A01;L02,2,0,1,0,1,1.07750,0.58058,0.00028,0.00011,2000.0,111.37,55.68,0,0
GFuzz,2,A01;L00,1,0,1,0,1,0.89634,0.56967,0.00002,0.00000,1000.0,66.94,66.94,0,0
GFuzzHB,2,A01;L02,2,0,1,0,1,1.00165,0.52553,0.00013,0.00006,2000.0,119.8,59.9,0,0
GFuzzHBFlow,2,A01;L02,2,0,1,0,1,1.00321,0.55812,0.00022,0.00010,2000.0,119.62,59.81,0,0
GoPie,2,A01;L00,1,0,1,0,1,0.99307,0.53841,0.00002,0.00000,1000.0,60.42,60.42,0,0
GoPie+,2,A01;L00,1,0,1,0,1,0.98048,0.51693,0.00001,0.00000,1000.0,61.19,61.19,0,0
GoPieHB,2,A01;L02,2,0,1,0,1,0.89797,0.53350,0.00011,0.00015,2000.0,133.63,66.82,0,0
