Mode,TestName,NoEvents,NoGoroutines,NoAtomicEvents,NoChannelEvents,NoSelectEvents,NoMutexEvents,NoWaitgroupEvents,NoCondVariablesEvents,NoOnceOperations
Flow,TestDisableConsoleColor,2,1,1,0,0,0,0,0,0
GFuzz,TestDisableConsoleColor,2,1,1,0,0,0,0,0,0
GFuzzHB,TestDisableConsoleColor,2,1,1,0,0,0,0,0,0
GFuzzHBFlow,TestDisableConsoleColor,2,1,1,0,0,0,0,0,0
GoPie+,TestDisableConsoleColor,2,1,1,0,0,0,0,0,0
GoPie,TestDisableConsoleColor,2,1,1,0,0,0,0,0,0
GoPieHB,TestDisableConsoleColor,2,1,1,0,0,0,0,0,0
