Mode,Unique_Bugs,Bug_Types,Total_Bugs,Panics,Leaks,Confirmed_Replays,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s,Bugs_per_1000_Runs,Bugs_per_Minute,Runs_per_Minute,Replays_Written,Replays_Successful
Flow,1,R01,0,0,0,0,1,1.88062,0.67411,0.00005,0.00011,0.0,0.0,31.9,0,0
GFuzz,1,R01,0,0,0,0,1,2.57097,1.35226,0.00001,0.00000,0.0,0.0,23.34,0,0
GFuzzHB,1,R01,0,0,0,0,1,1.83137,0.65723,0.00006,0.00013,0.0,0.0,32.76,0,0
GFuzzHBFlow,1,R01,0,0,0,0,1,1.87782,0.65191,0.00005,0.00010,0.0,0.0,31.95,0,0
GoPie,1,R01,0,0,0,0,1,1.82337,0.62599,0.00001,0.00000,0.0,0.0,32.91,0,0
GoPie+,1,R01,0,0,0,0,1,1.86916,0.65331,0.00001,0.00000,0.0,0.0,32.1,0,0
GoPieHB,1,R01,0,0,0,0,1,1.78114,0.63563,0.00004,0.00009,0.0,0.0,33.69,0,0
