Mode,TestName,Time
Flow,Total,1.00926
GFuzz,Total,1.53196
GFuzzHB,Total,0.99351
GFuzzHBFlow,Total,1.05290
GoPie+,Total,1.05747
GoPie,Total,1.04762
GoPieHB,Total,1.06708
