Test,Flow,GFuzz,GFuzzHB,GFuzzHBFlow,GoPie,GoPie+,GoPieHB
TestResponseWriterHijack,1.79924,2.44581,1.79776,1.73882,1.79496,1.7841,1.76959
TestResponseWriterReset,2.01946,2.65766,1.95277,1.97553,2.0146,1.95399,1.93074
TestResponseWriterStatusCode,1.77548,2.47387,1.78707,1.79946,1.78182,1.87227,1.75819
TestResponseWriterUnwrap,1.87778,2.52135,1.81989,1.89824,1.92001,1.99995,1.88232
TestResponseWriterWrite,1.81033,2.43897,1.72538,1.74945,1.78624,1.79291,1.76465
TestResponseWriterWriteHeader,1.84606,2.55895,1.9191,1.76919,1.80666,1.7828,1.75655
TestResponseWriterWriteHeadersNow,1.81582,2.43375,1.77637,1.80164,1.75063,1.76669,1.74855
TestRouteContextHoldsFullPath,1.85083,2.56003,1.89646,1.88786,1.85869,1.85794,1.8493
TestRouteNotAllowedDisabled,1.86922,2.70493,1.86267,1.91663,1.82294,1.94317,1.88148
TestRouteNotAllowedEnabled,1.8396,2.57205,1.82597,1.96756,1.86734,1.89008,1.79414
TestRouteNotAllowedEnabled2,1.97914,2.69218,2.01064,1.89104,1.94687,1.87966,1.86026
TestRouteNotAllowedEnabled3,1.92417,2.57466,1.85708,1.94237,2.13238,2.12229,2.12303
TestRouteNotOK,1.92714,2.46245,1.85732,1.80584,1.79895,1.89085,2.00823
TestRouteNotOK2,1.88409,2.53166,1.87621,1.82207,1.76582,1.96548,1.81342
TestRouteParamsByName,2.37976,3.33111,2.40691,2.33826,2.40319,2.60448,2.37015
TestRouteParamsByNameWithExtraSlash,2.24399,3.19494,2.24116,2.40441,2.32081,2.22371,2.36748
TestRouteParamsNotEmpty,2.25881,3.20817,2.18483,2.22141,2.28097,1.93868,1.87576
TestRouteRawPath,1.80651,2.57993,1.81233,1.81687,1.77482,1.83858,1.88781
TestRouteRawPathNoUnescape,1.86089,2.59615,1.84104,1.9043,1.95395,1.94807,1.91146
TestRouteRedirectFixedPath,1.82128,2.67008,1.84077,1.97298,2.12949,2.05746,2.11281
TestRouteRedirectTrailingSlash,1.82644,2.55834,1.80337,1.81166,1.9457,1.83738,1.90327
TestRouteServeErrorWithWriteHeader,1.92892,2.58031,1.8522,1.90698,1.83428,1.87559,1.83679
TestRouteStaticFile,1.9656,2.76915,1.85196,1.9002,1.9549,1.83735,1.94694
TestRouteStaticFileFS,1.97477,2.72339,1.99387,1.8879,1.93789,1.91007,1.9427
TestRouteStaticListingDir,1.85031,2.55641,1.79263,1.83338,1.87663,1.89856,1.82293
TestRouteStaticNoListing,1.86825,2.60373,1.93561,1.81583,1.89353,1.93128,1.93998
TestRouterGroupBadMethod,1.91023,2.68207,1.94777,1.88397,1.81649,1.79636,1.85608
TestRouterGroupBasic,1.92309,2.58143,1.95648,1.92069,1.89541,1.9113,1.96119
TestRouterGroupBasicHandle,1.96351,2.70141,2.02953,2.27642,2.49804,2.59226,2.57528
TestRouterGroupInvalidStatic,2.20976,3.2629,2.19378,2.46128,2.39093,2.28382,2.27487
TestRouterGroupInvalidStaticFile,2.32301,3.09468,2.48646,2.26802,2.26882,2.19703,2.28419
TestRouterGroupInvalidStaticFileFS,2.25519,3.06514,2.12422,2.18002,2.32321,2.52769,2.33179
TestRouterGroupPipeline,1.87476,2.53718,1.92683,1.91614,1.87368,1.84574,1.85737
TestRouterGroupRouteOK,1.80824,2.49123,1.85657,1.85431,1.86356,1.80202,1.80933
TestRouterGroupTooManyHandlers,1.97505,3.11597,2.17618,2.0273,2.17571,2.12849,2.05219
TestRouterMethod,1.84353,2.58404,1.88468,1.88151,1.83049,1.85427,1.83077
TestRouterMiddlewareAndStatic,1.90526,2.6467,2.05305,1.82062,1.99516,1.96408,1.93684
TestRouterNotFound,1.90532,2.57924,1.91816,1.92646,1.8586,1.80299,1.91497
TestRouterNotFoundWithRemoveExtraSlash,1.87279,2.61402,1.95653,1.88426,1.90683,1.95431,1.86007
TestRouterStaticFSFileNotFound,2.04649,2.79896,2.00794,1.95336,1.9675,1.82298,1.92914
TestRouterStaticFSNotFound,1.86713,2.67151,2.00298,1.85463,1.80852,1.9027,2.06841
TestRunEmpty,1.55276,2.25616,1.56222,1.55539,1.57124,662.95028,662.18465
TestRunEmptyWithEnv,1.57149,2.13287,1.58659,1.61773,1.59122,662.87134,662.12867
TestRunQUIC,1.59927,4.49074,4.95664,664.71488,1.53597,17.39889,16.19703
TestRunTLS,1.59019,2.19249,1.58077,1.58813,1.55449,23.10516,7.95592
TestRunTooMuchParams,1.59893,2.10921,1.56359,1.54781,1.56072,1.53423,1.52279
TestRunWithPort,1.65949,2.22106,1.5483,1.57691,1.52578,21.39929,5.55891
TestSaveUploadedCreateFailed,2.02452,3.04477,2.05993,1.96192,2.1207,2.21303,1.88124
TestSaveUploadedFileWithPermission,2.14107,3.4094,2.15866,1.94521,1.93705,2.13994,2.10066
TestSaveUploadedFileWithPermissionFailed,1.91322,3.24277,1.89641,1.98922,2.09795,2.11806,2.15074
TestSaveUploadedOpenFailed,2.04387,3.38809,1.95281,2.13398,1.93029,2.18636,2.16925
TestSetMode,1.94089,2.50391,1.84789,1.88746,1.83152,1.77508,1.91089
TestShouldBindUri,1.75522,2.5283,1.69455,1.72963,1.65145,1.70369,1.78437
TestSource,1.78613,2.69702,1.81932,1.84852,1.78953,1.87553,1.81908
TestTreeAddAndGet,1.91911,2.67737,1.95388,1.99411,1.86107,1.98265,1.85696
TestTreeCatchAllConflict,1.88782,2.95626,1.83715,1.99983,1.94817,2.02184,2.02321
TestTreeCatchAllConflictRoot,1.89752,2.65156,1.90567,1.96308,1.95498,1.82709,1.8254
TestTreeCatchMaxParams,2.21167,2.74186,2.16807,2.04114,1.92882,1.91249,1.83167
TestTreeChildConflict,1.90315,2.60396,1.90065,1.84139,1.88718,1.82961,1.89613
TestTreeDoubleWildcard,1.90174,2.55139,1.87003,1.92417,2.0975,2.10268,2.32321
TestTreeDuplicatePath,1.86961,2.51375,1.87366,2.01436,2.07333,2.30927,2.44088
TestTreeExpandParamsCapacity,2.50781,3.42565,2.48732,2.27611,2.24641,2.16335,1.97114
TestTreeFindCaseInsensitivePath,1.89553,2.59318,1.88613,1.95674,1.87605,2.04755,1.92778
TestTreeInvalidEscape,1.8691,2.594,1.88649,1.91157,1.92862,1.84238,1.85141
TestTreeInvalidNodeType,2.12189,2.86283,2.21224,2.21824,2.15855,2.39635,2.65658
TestTreeInvalidParamsType,2.79044,3.59128,2.84976,2.61316,2.37427,2.56446,2.75553
TestTreeRootTrailingSlashRedirect,1.83062,2.7605,1.84401,1.82328,1.86435,1.84247,1.83743
TestTreeRunDynamicRouting,2.70946,3.03282,2.68853,2.73766,2.54526,2.23251,2.22187
TestTreeTrailingSlashRedirect,2.19798,2.91084,2.24149,2.24553,2.24063,2.18013,2.26355
TestTreeWildcard,1.86479,2.68037,1.85041,1.8974,1.93918,1.98367,1.85574
TestTreeWildcardConflict,1.88062,2.57097,1.83137,1.87782,1.82337,1.86916,1.78114
TestTreeWildcardConflictEx,2.22326,2.53226,2.03047,1.87447,1.97469,1.92397,1.85371
TestUnescapeParameters,2.06749,2.60727,2.10098,2.22597,2.08171,1.8711,1.86682
TestUnixSocket,1.55708,2.187,1.53487,1.58614,1.57363,662.84645,662.18091
TestWebsocketsRequired,1.47815,2.09177,1.45521,1.4902,1.45513,1.48927,1.47805
TestWildcardInvalidSlash,1.94232,2.60834,1.8115,2.03226,2.13434,2.04345,2.05129
TestWithHttptestWithAutoSelectedPort,2.17163,2.988,2.26565,2.1882,2.1668,2.11022,2.12882
TestWithOptionFunc,1.99599,2.87574,2.03017,2.03827,1.93837,2.03166,1.98031
TestWrap,2.06438,2.9105,2.32116,1.95239,2.25653,2.17869,2.02021
Test_neuteredReaddirFile_Readdir,1.54238,2.19719,1.55352,1.52111,1.54523,1.53191,1.55358
