Mode,Unique_Bugs,Unique_Bug_Types,Total_Bugs,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s
GFuzz,1,L00,0,1,0.47440,0.29628,0.00001,0.00000
GoPie,1,L00,0,1,0.45703,0.27293,0.00001,0.00000
GoPie+,1,L00,0,1,0.45592,0.25981,0.00001,0.00000
