Mode,Unique_Bugs,Unique_Bug_Types,Total_Bugs,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s
GFuzz,2,A05;L00,1,1,0.44411,0.27448,0.00001,0.00000
GoPie,2,A05;L00,1,1,0.42568,0.25209,0.00002,0.00000
GoPie+,2,A05;L00,1,1,0600.69334,0.25169,0.00002,0.00000
