Mode,Unique_Bugs,Bug_Types,Total_Bugs,Panics,Leaks,Confirmed_Replays,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s,Bugs_per_1000_Runs,Bugs_per_Minute,Runs_per_Minute,Replays_Written,Replays_Successful
Flow,0,,0,0,0,0,1,1.92417,0.71945,0.00005,0.00010,0.0,0.0,31.18,0,0
GFuzz,0,,0,0,0,0,1,2.57466,1.37155,0.00000,0.00000,0.0,0.0,23.3,0,0
GFuzzHB,0,,0,0,0,0,1,1.85708,0.66465,0.00004,0.00010,0.0,0.0,32.31,0,0
GFuzzHBFlow,0,,0,0,0,0,1,1.94237,0.70594,0.00005,0.00011,0.0,0.0,30.89,0,0
GoPie,0,,0,0,0,0,1,2.13238,0.78563,0.00000,0.00000,0.0,0.0,28.14,0,0
GoPie+,0,,0,0,0,0,1,2.12229,0.75495,0.00000,0.00000,0.0,0.0,28.27,0,0
GoPieHB,0,,0,0,0,0,1,2.12303,0.74753,0.00004,0.00010,0.0,0.0,28.26,0,0
