Mode,Unique_Bugs,Bug_Types,Total_Bugs,Panics,Leaks,Confirmed_Replays,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s,Bugs_per_1000_Runs,Bugs_per_Minute,Runs_per_Minute,Replays_Written,Replays_Successful
Flow,2,A03;L00,2,0,1,0,1,0.82732,0.45953,0.00015,0.00011,2000.0,145.05,72.52,0,0
GFuzz,2,A03;L00,1,0,1,0,1,0.83581,0.48049,0.00003,0.00000,1000.0,71.79,71.79,0,0
GFuzzHB,2,A03;L00,2,0,1,0,1,0.77447,0.39621,0.00021,0.00010,2000.0,154.94,77.47,0,0
GFuzzHBFlow,2,A03;L00,2,0,1,0,1,0.76190,0.42572,0.00015,0.00010,2000.0,157.5,78.75,0,0
GoPie,2,A03;L00,1,0,1,0,100,58.26990,0.38700,0.00003,0.00000,10.0,1.03,102.97,0,0
GoPie+,2,A03;L00,1,0,1,0,5,72.73886,0.44295,0.00002,0.00000,200.0,0.82,4.12,0,0
GoPieHB,2,A03;L00,2,0,1,0,6,3.21278,0.35856,0.00010,0.00007,333.33,37.35,112.05,0,0
