Mode,Unique_Bugs,Bug_Types,Total_Bugs,Panics,Leaks,Confirmed_Replays,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s,Bugs_per_1000_Runs,Bugs_per_Minute,Runs_per_Minute,Replays_Written,Replays_Successful
Flow,0,,0,0,0,0,1,2.36282,1.10289,0.00016,0.00021,0.0,0.0,25.39,0,0
GFuzz,0,,0,0,0,0,1,3.51886,2.31555,0.00000,0.00000,0.0,0.0,17.05,0,0
GFuzzHB,0,,0,0,0,0,1,2.31790,1.11713,0.00014,0.00027,0.0,0.0,25.89,0,0
GFuzzHBFlow,0,,0,0,0,0,1,2.43534,1.08911,0.00008,0.00010,0.0,0.0,24.64,0,0
GoPie,0,,0,0,0,0,1,1.97404,1.01749,0.00000,0.00000,0.0,0.0,30.39,0,0
GoPie+,0,,0,0,0,0,1,1.73761,0.82624,0.00000,0.00000,0.0,0.0,34.53,0,0
GoPieHB,0,,0,0,0,0,1,1.69024,0.81491,0.00007,0.00009,0.0,0.0,35.5,0,0
