Mode,Unique_Bugs,Bug_Types,Total_Bugs,Panics,Leaks,Confirmed_Replays,Total_Runs,Total_Time_s,Rec_s,Ana_s,Rep_s,Bugs_per_1000_Runs,Bugs_per_Minute,Runs_per_Minute,Replays_Written,Replays_Successful
Flow,0,,0,0,0,0,1,1.47948,0.66181,0.00004,0.00011,0.0,0.0,40.55,0,0
GFuzz,0,,0,0,0,0,1,2.15961,1.35214,0.00000,0.00000,0.0,0.0,27.78,0,0
GFuzzHB,0,,0,0,0,0,1,1.49421,0.66554,0.00002,0.00006,0.0,0.0,40.15,0,0
GFuzzHBFlow,0,,0,0,0,0,1,1.44604,0.65250,0.00005,0.00010,0.0,0.0,41.49,0,0
GoPie,0,,0,0,0,0,1,1.47425,0.67705,0.00000,0.00000,0.0,0.0,40.7,0,0
GoPie+,0,,0,0,0,0,1,1.47414,0.66812,0.00000,0.00000,0.0,0.0,40.7,0,0
GoPieHB,0,,0,0,0,0,1,1.47228,0.66257,0.00004,0.00011,0.0,0.0,40.75,0,0
